 written on 25Nov2024 at 14:44:44 
   2.5102669204009289        0.0000000000000000        0.0000000000000000     
  -1.2551334602004645        2.1739539018422445        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        14.999999580211844     
           6
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    2    2   -0.33048279E-02 -0.13690978E-02
    3    2   -0.55499457E-01  0.11139460E-02
    4    2    0.11835280E-03  0.62636782E-04
    5    2    0.11489354E-02  0.15785695E-03
    6    2   -0.64701999E-03  0.10304464E-02
    1    3   -0.14049981E-04  0.11673410E-03
    2    3   -0.17301565E-01 -0.66397456E-02
    3    3   -0.12320270E-01 -0.21502953E-03
    4    3    0.65998613E-03  0.47288517E-03
    5    3    0.37782512E-01 -0.14882336E-01
    6    3    0.19502370E-01  0.15292827E-02
    1    4   -0.17919947E-01  0.13442705E-01
    2    4    0.11983067E-03 -0.96472833E-04
    3    4    0.56074894E-03 -0.42163453E-03
    4    4    0.12827134E-01  0.32369950E-03
    5    4   -0.44284752E-03  0.26998506E-03
    6    4    0.43262168E-05  0.11602343E-03
    1    5    0.20848276E-03  0.43834410E-04
    2    5    0.56430416E-02  0.18635830E-02
    3    5    0.52442502E-01  0.18243648E-01
    4    5    0.23076627E-04  0.10653368E-04
    5    5   -0.41657575E-02  0.30285146E-02
    6    5   -0.60247053E-02  0.27790331E-04
    1    6   -0.16109009E-04  0.13660942E-03
    2    6   -0.66842351E-03  0.77482035E-03
    3    6    0.55559865E-01  0.13280624E-01
    4    6    0.95204215E-04  0.18144272E-05
    5    6   -0.12979571E-02 -0.29339046E-03
    6    6   -0.31831120E-02 -0.14461653E-02

   -4   -1    0
    1    1    0.10914837E-01 -0.40713771E-04
    2    1    0.21287663E-03  0.47271258E-04
    3    1    0.67423583E-03  0.59772318E-03
    4    1    0.82872806E-02  0.44614530E-02
    5    1    0.15856647E-04 -0.19118313E-04
    6    1   -0.11642281E-03 -0.15443545E-04
    1    2   -0.27330941E-03  0.14847160E-03
    2    2    0.31364131E-02  0.60691369E-03
    3    2    0.53886311E-01 -0.78301107E-02
    4    2    0.61614002E-04  0.16437170E-05
    5    2   -0.18462528E-02  0.14781983E-02
    6    2   -0.28291567E-02 -0.42911894E-03
    1    3   -0.53298169E-04  0.66401753E-04
    2    3   -0.12843287E-01  0.71665040E-02
    3    3    0.12995602E-01 -0.61025223E-03
    4    3    0.59924429E-03 -0.10658761E-03
    5    3   -0.10208033E-01  0.89570837E-02
    6    3   -0.40134077E-01  0.19276968E-02
    1    4   -0.17913923E-01  0.13443828E-01
    2    4   -0.10762550E-03  0.82911593E-04
    3    4   -0.15791730E-02  0.88208987E-03
    4    4    0.46513056E-02  0.43846927E-04
    5    4   -0.98752525E-04  0.57591681E-04
    6    4   -0.88522473E-05 -0.38262777E-04
    1    5    0.13507670E-03 -0.85480078E-04
    2    5   -0.83555210E-03 -0.74811869E-03
    3    5   -0.32574402E-01 -0.11719926E-01
    4    5    0.11170773E-03  0.27692183E-04
    5    5    0.13192400E-02 -0.79207845E-03
    6    5    0.99414906E-03  0.33356164E-03
    1    6    0.48648167E-04 -0.11643031E-03
    2    6    0.30786246E-02  0.12917699E-02
    3    6   -0.27751405E-01 -0.45225351E-02
    4    6   -0.11563253E-03 -0.73253456E-04
    5    6   -0.38744549E-03 -0.20901557E-03
    6    6    0.22063505E-02  0.79228383E-03

   -4    0    0
    1    1    0.47399360E-02 -0.73385700E-05
    2    1    0.15172245E-03  0.44952078E-04
    3    1   -0.21098952E-03 -0.34489849E-03
    4    1    0.94143486E-02  0.36460766E-02
    5    1   -0.11531233E-03  0.10817117E-03
    6    1    0.63518048E-04  0.68661352E-04
    1    2   -0.78960606E-04 -0.14832685E-03
    2    2    0.13440938E-02 -0.97272705E-03
    3    2   -0.22785421E-01 -0.54665968E-02
    4    2   -0.10216270E-03 -0.87498085E-06
    5    2   -0.33428769E-03  0.47230937E-04
    6    2    0.29373500E-02  0.61310971E-03
    1    3    0.14314567E-03 -0.20210345E-03
    2    3    0.39522698E-01 -0.57402745E-02
    3    3   -0.56013899E-02  0.34304643E-05
    4    3   -0.13457052E-02 -0.77199880E-03
    5    3   -0.24886632E-01 -0.38178094E-02
    6    3    0.13765240E-01  0.19974628E-02
    1    4   -0.83482458E-02  0.39757339E-02
    2    4   -0.12116913E-03  0.88331616E-04
    3    4    0.14751870E-02 -0.19687178E-03
    4    4   -0.69937896E-02  0.30073253E-05
    5    4   -0.59203158E-04 -0.11488868E-04
